iteration|level|ip_address|response_time|country|region|city|longitude|latitude|isp|org
14|13|216.239.49.197|36.674 ms|United States|LA|Sulphur|-93.4063|30.2585|Google|Google
14|14|216.239.48.6|31.109 ms|United States|LA|Sulphur|-93.4063|30.2585|Google|Google
14|15|216.239.48.31|26.839 ms|United States|LA|Sulphur|-93.4063|30.2585|Google|Google
14|16|216.239.48.6|34.082 ms|United States|LA|Sulphur|-93.4063|30.2585|Google|Google
14|17|216.239.40.138|33.997 ms|United States|FL|Sarasota|-82.356|27.2379|Google|Google
14|18|216.239.40.130|29.317 ms|United States|FL|Sarasota|-82.356|27.2379|Google|Google
14|19|216.239.40.118|27.071 ms|United States|FL|Sarasota|-82.356|27.2379|Google|Google
14|20|209.85.142.157|30.196 ms|United States|CA|Mountain View|-122.085|37.4229|Google|Google
14|21|209.85.254.105|29.903 ms|United States|CA|Mountain View|-122.085|37.4229|Google|Google
14|22|64.233.174.133|30.400 ms|United States|CA|Mountain View|-122.0574|37.4192|Google|Google
14|23|64.233.185.138|30.519 ms|United States|CA|Mountain View|-122.0574|37.4192|Google|Google
15|1|192.168.0.1|1.756 ms|||||||
15|2|174.111.102.226|25.976 ms|United States|NC|High Point|-80.0053|35.9557|Time Warner Cable|Time Warner Cable
15|3|24.25.62.50|14.219 ms|United States|NY|New York|-73.9597|40.7903|Time Warner Cable|Time Warner Cable
15|4|24.93.67.202|20.486 ms|United States|NC|Charlotte|-80.8439|35.2277|Time Warner Cable|Time Warner Cable
15|5|24.93.64.186|25.821 ms|United States|NC|Charlotte|-80.8431|35.2271|Time Warner Cable|Time Warner Cable
15|6|24.93.67.202|20.494 ms|United States|NC|Charlotte|-80.8439|35.2277|Time Warner Cable|Time Warner Cable
15|7|66.109.6.82|20.235 ms|United States|GA|Forest Park|-84.3691|33.6221|Time Warner Cable|Time Warner Cable
15|8|205.197.180.41|22.876 ms|United States|IL|Chicago|-87.6441|41.8825|XO Communications|XO Communications
15|9|205.197.180.54|25.800 ms|United States|IL|Chicago|-87.6441|41.8825|XO Communications|XO Communications
15|10|216.239.51.53|33.212 ms|United States|LA|Sulphur|-93.4063|30.2585|Google|Google
15|11|216.239.51.47|24.061 ms|United States|LA|Sulphur|-93.4063|30.2585|Google|Google
15|12|209.85.244.218|18.524 ms|United States|CA|Mountain View|-122.085|37.4229|Google|Google
15|13|216.239.51.245|43.772 ms|United States|LA|Sulphur|-93.4063|30.2585|Google|Google
15|14|66.249.94.20|23.767 ms|United States|CA|Mountain View|-122.0574|37.4192|Google|Google
